Part Identifier,Type,Diameter,Pitch,Length / Height,Per bag,McMaster P/N,Price per Pkg,Each,Price per 100,Tool,Notes
FPAN-M1.6-2L,Pan Head Phillips Machine Screw,M1.6,0.35 mm,2,50,92005A001,$8.83,$0.18,$17.66,#0 Philips,
FPAN-M1.6-3L,Pan Head Phillips Machine Screw,M1.6,0.35 mm,3,50,92005A002,$9.34,$0.19,$18.68,#0 Philips,
FPAN-M1.6-4L,Pan Head Phillips Machine Screw,M1.6,0.35 mm,4,25,92005A003,$6.65,$0.27,$26.60,#0 Philips,
FPAN-M1.6-5L,Pan Head Phillips Machine Screw,M1.6,0.35 mm,5,25,92005A004,$6.65,$0.27,$26.60,#0 Philips,
FPAN-M1.6-6L,Pan Head Phillips Machine Screw,M1.6,0.35 mm,6,25,92005A005,$7.11,$0.28,$28.44,#0 Philips,
FPAN-M1.6-8L,Pan Head Phillips Machine Screw,M1.6,0.35 mm,8,25,92005A006,$7.45,$0.30,$29.80,#0 Philips,
FPAN-M2-2L,Pan Head Phillips Machine Screw,M2,0.4 mm,2,100,92005A010,$9.17,$0.09,$9.17,#1 Philips,
FPAN-M2-3L,Pan Head Phillips Machine Screw,M2,0.4 mm,3,100,92005A011,$5.04,$0.05,$5.04,#1 Philips,
FPAN-M2-4L,Pan Head Phillips Machine Screw,M2,0.4 mm,4,100,92005A016,$3.67,$0.04,$3.67,#1 Philips,
FPAN-M2-5L,Pan Head Phillips Machine Screw,M2,0.4 mm,5,100,92005A019,$3.21,$0.03,$3.21,#1 Philips,
FPAN-M2-6L,Pan Head Phillips Machine Screw,M2,0.4 mm,6,100,92005A023,$3.67,$0.04,$3.67,#1 Philips,
FPAN-M2-8L,Pan Head Phillips Machine Screw,M2,0.4 mm,8,100,92005A029,$3.67,$0.04,$3.67,#1 Philips,
FPAN-M2-10L,Pan Head Phillips Machine Screw,M2,0.4 mm,10,100,92005A033,$3.67,$0.04,$3.67,#1 Philips,
FPAN-M2-12L,Pan Head Phillips Machine Screw,M2,0.4 mm,12,100,92005A035,$4.13,$0.04,$4.13,#1 Philips,
FPAN-M2-14L,Pan Head Phillips Machine Screw,M2,0.4 mm,14,100,92005A036,$4.43,$0.04,$4.43,#1 Philips,
FPAN-M2-16L,Pan Head Phillips Machine Screw,M2,0.4 mm,16,100,92005A037,$4.13,$0.04,$4.13,#1 Philips,
FPAN-M2-20L,Pan Head Phillips Machine Screw,M2,0.4 mm,20,100,92005A039,$5.96,$0.06,$5.96,#1 Philips,
FPAN-M2.5-3L,Pan Head Phillips Machine Screw,M2.5,0.45 mm,3,100,92005A052,$5.04,$0.05,$5.04,#1 Philips,
FPAN-M2.5-4L,Pan Head Phillips Machine Screw,M2.5,0.45 mm,4,100,92005A056,$5.04,$0.05,$5.04,#1 Philips,
FPAN-M2.5-5L,Pan Head Phillips Machine Screw,M2.5,0.45 mm,5,100,92005A061,$3.67,$0.04,$3.67,#1 Philips,
FPAN-M2.5-6L,Pan Head Phillips Machine Screw,M2.5,0.45 mm,6,100,92005A066,$4.13,$0.04,$4.13,#1 Philips,
FPAN-M2.5-8L,Pan Head Phillips Machine Screw,M2.5,0.45 mm,8,100,92005A069,$4.13,$0.04,$4.13,#1 Philips,
